Year, Conference, Title
2022,North American Chapter of the Association for Computational Linguistics (NAACL),Contrastive learning for NLP
2021,ADL.Chinese Computer Federation (CCF),Graph Neural Networks in NLP
2019,ATT14.Chinese Information Processing Society of China (CIPS),Graph Neural Networks in NLP
2018,The Empirical Methods on Natural Language Processing (EMNLP),Joint Models in NLP
2017,The International Joint Conference on Natural Language Processing (IJCNLP),Deep Learning for Syntactic and Semantic Analysis
2017,The China National Conference on Computational Linguistics (CCL),Joint Models for NLP
2016,The Empirical Methods for Natural Language Processing (EMNLP),Neural Network for Sentiment Analysis
2016,The China National Conference on Computational Linguistics (CCL),Deep Learning for Syntactic and Semantic Analysis
2014,The Annual Meeting of the Association for Computational Linguistics (ACL),Syntactic Processing Using Global Discriminative Learning and Beam-Search Decoding
2010,The Annual Conference ofthe North American Chapter of the Association for Computational Linguistics (HLT:NAACL),Recent Advances in Dependency Parsing
