项目名称, 项目类别, 参与者（仅统计在实验室人员）, 进度
新一代自然语言处理表示方法研究,浙江省科技厅重点纵向项目,杨林易、李雅夫、尹永竞、白雪峰、王存翔、罗云、闵庆凯、陈雨龙、郭放、刘派,进行中 (2024-11-01)
基于新闻领域的开放目标立场识别,新华社横向项目,石岳峰、罗云、杨林易,进行中
基于互联网的人工智能技术在中国和国际资本市场的创新应用 ,国家级人才项目,杨林易、马英鹏,进行中 (2023-12-31)
语言桥机器翻译系统,语言桥横向项目,白雪峰，陈雨龙，尹永竞，李雅夫，鲍光胜，颜建昊,进行中 (2025-12-31)
面向成分句法分析的跨领域知识抽取与融合,国家面上纵向项目,白雪峰，贾晨,进行中 (2023-12-31)
模块化语义神经机器翻译研究与落地,国家科技部国际合作港澳台重点纵向项目,白雪峰、鲍光胜、李雅夫、尹永竞、颜建昊、杨林易,进行中 (2025-12-31)
神经对话系统的泛化性研究,腾讯犀牛鸟横向项目,白雪峰,进行中
中国资本市场文本智能研究,北京融汇金信横向项目,杨林易,进行中
侵入式语音解码,浙大二院横向项目,曹路、冯琛、欧泽斌,进行中
自然语言理解和生成的前沿技术与应用,腾讯微信横向项目,尹永竞,进行中
描述性长文本的自动理解与生成技术研究,北大面上纵向合作项目,鲍光胜、胡涵旭、陈雨龙,进行中
之江实验室事件抽取,之江实验室纵向项目,闵庆凯、高文炀、刘派、栗英杰 ,申请中
